Stations_ID, Mess_Datum, Qualitaets_Niveau, BEDECKUNGSGRAD,REL_FEUCHTE,DAMPFDRUCK,LUFTTEMPERATUR,LUFTDRUCK_STATIONSHOEHE, WINDGESCHWINDIGKEIT, LUFTTEMP_AM_ERDB_MINIMUM,LUFTTEMPERATUR_MINIMUM,LUFTTEMPERATUR_MAXIMUM, WINDSPITZE_MAXIMUM, NIEDERSCHLAGSHOEHE_IND,NIEDERSCHLAGSHOEHE,SONNENSCHEINDAUER, SCHNEEHOEHE,eor
     3015,20121107,   3,   7.7,   88.79,   9.7,    8.2, 1001.80,   6.6,    4.2,    5.0,   10.3,  15.9,   6,   2.2,    1.067,   0,eor
     3015,20121108,   3,   7.9,   75.46,   8.4,    8.5, 1003.07,   6.2,    6.7,    7.8,    9.6,  14.5,   6,   0.1,    0.000,   0,eor
     3015,20121109,   3,   6.8,   83.75,   9.1,    8.2, 1003.25,   3.4,    3.6,    5.9,   11.5,  10.1,   6,   0.0,    1.050,   0,eor
     3015,20121110,   3,   6.7,   82.25,   8.3,    7.2,  995.07,   2.9,    3.1,    4.5,   10.9,   8.3,   6,   1.7,    2.233,   0,eor
     3015,20121111,   3,   7.3,   91.00,   9.9,    8.2,  997.37,   2.6,    5.4,    6.6,   10.2,   6.9,   6,   4.1,    0.083,   0,eor
     3015,20121112,   3,   4.9,   89.50,   8.6,    6.4, 1010.80,   2.6,   -0.5,    3.0,    8.8,   7.7,   0,   0.0,    4.167,   0,eor
     3015,20121113,   3,   1.5,   84.33,   7.1,    4.5, 1019.51,   2.1,   -1.8,    1.3,    9.4,   5.4,   0,   0.0,    8.133,   0,eor
     3015,20121114,   3,   0.9,   78.75,   6.0,    3.2, 1018.67,   2.6,   -1.9,    0.1,    8.0,   5.4,   0,   0.0,    8.100,   0,eor
     3015,20121115,   3,   4.6,   96.58,   5.5,   -0.9, 1012.15,   1.9,   -3.5,   -3.6,    2.7,   5.1,   0,   0.0,    3.950,   0,eor
     3015,20121116,   3,   8.0,   99.71,   5.8,   -0.8, 1008.41,   1.7,   -1.7,   -2.4,    0.8,   5.5,   0,   0.0,    0.000,   0,eor
     3015,20121117,   3,   6.8,   99.33,   6.6,    1.0, 1001.55,   2.4,   -2.5,   -1.1,    4.4,   6.0,   0,   0.0,    1.683,   0,eor
     3015,20121118,   3,   7.7,   96.17,   7.6,    3.6, 1000.12,   2.6,   -2.0,   -1.0,    6.0,   7.7,   6,   0.3,    0.000,   0,eor
     3015,20121119,   3,   7.0,   97.38,   9.0,    5.9, 1007.10,   2.2,    2.2,    3.8,    6.9,   6.1,   0,   0.0,    0.000,   0,eor
     3015,20121120,   3,   6.0,   98.38,   7.6,    3.2, 1008.56,   2.5,    0.6,    0.5,    5.0,   5.7,   6,   0.0,    0.000,   0,eor
     3015,20121121,   3,   8.0,   99.38,   8.1,    4.1, 1006.52,   3.0,    2.6,    2.1,    5.8,   8.0,   6,   0.0,    0.000,   0,eor
     3015,20121122,   3,   5.0,   91.13,   8.1,    5.4, 1009.27,   3.2,   -0.6,    1.6,    9.8,   8.4,   0,   0.0,    2.550,   0,eor
     3015,20121123,   3,   4.9,   93.21,   7.7,    4.1, 1008.13,   2.7,   -1.7,    0.8,    8.4,   6.7,   6,   1.0,    4.400,   0,eor
     3015,20121124,   3,   8.0,   95.25,   9.0,    6.2, 1007.07,   2.0,    4.5,    5.4,    6.9,   6.6,   6,   1.8,    0.000,   0,eor
     3015,20121125,   3,   6.0,   84.88,   8.8,    7.5, 1000.30,   4.1,    4.2,    5.3,   10.9,   9.6,   6,   0.0,    0.000,   0,eor
     3015,20121126,   3,   4.3,   83.21,   7.6,    5.7,  997.46,   3.1,   -0.6,    2.0,    8.5,   7.3,   6,   0.5,    4.383,   0,eor
     3015,20121127,   3,   7.8,   95.83,   9.6,    6.9,  993.16,   2.1,    1.5,    3.3,    8.2,   6.2,   6,   0.4,    0.000,   0,eor
     3015,20121128,   3,   8.0,   96.04,   8.6,    5.3,  990.67,   2.2,    2.9,    4.0,    6.1,   7.2,   6,   8.4,    0.000,   0,eor
     3015,20121129,   3,   8.0,   95.58,   7.4,    3.3,  982.30,   4.4,    1.7,    1.7,    4.8,  12.0,   8,  27.7,    0.000,   0,eor
     3015,20121130,   3,   7.3,   96.88,   6.6,    1.5,  991.47,   3.8,   -2.1,   -1.3,    2.9,  10.9,   8,   2.1,    0.000,   0,eor
     3015,20121201,   3,   5.8,   90.75,   5.3,   -0.6,  999.10,   3.0,   -4.3,   -2.4,    0.6,   8.0,   7,   0.0,    0.100,   0,eor
     3015,20121202,   3,   7.3,   87.50,   5.1,   -0.7,  996.90,   2.0,   -3.1,   -2.2,    1.5,   5.2,   7,   0.1,    4.117,   0,eor
     3015,20121203,   3,   5.9,   88.13,   5.1,   -0.7,  997.79,   3.1,   -3.1,   -2.1,    0.4,   7.4,   7,   1.0,    4.800,   0,eor
     3015,20121204,   3,   7.7,   92.17,   6.3,    1.4,  982.93,   4.6,   -0.8,   -0.7,    3.3,  11.5,   8,   1.7,    0.050,   2,eor
     3015,20121205,   3,   4.2,   88.04,   4.7,   -1.9,  986.43,   5.0,   -7.3,   -5.5,    2.3,  15.3,   7,   0.5,    3.867,   1,eor
     3015,20121206,   3,   5.8,   93.88,   4.4,   -3.6,  994.18,   3.6,  -11.8,   -7.6,   -1.3,  11.7,   7,   2.4,    0.300,   1,eor
     3015,20121207,   3,   1.3,   92.25,   3.7,   -5.8,  999.10,   2.9,  -12.3,   -8.5,   -2.3,   5.7,   0,   0.0,    6.883,   9,eor
     3015,20121208,   3,   4.6,   92.88,   3.5,   -6.6, 1005.91,   2.7,  -14.7,  -10.3,   -4.3,   6.8,   7,   0.0,    3.083,   8,eor
     3015,20121209,   3,   8.0,   94.71,   4.5,   -3.4,  999.12,   3.7,   -6.0,   -6.3,    0.1,   9.6,   7,   5.1,    0.150,   8,eor
     3015,20121210,   3,   8.0,   97.46,   5.4,   -1.4,  991.84,   2.7,   -4.9,   -4.6,    0.6,   7.9,   7,   2.8,    0.000,  14,eor
     3015,20121211,   3,   8.0,   95.42,   4.7,   -3.0, 1003.15,   4.8,   -7.0,   -5.3,   -1.1,  11.3,   7,   1.7,    0.000,  18,eor
     3015,20121212,   3,   5.5,   92.50,   3.8,   -5.5, 1006.77,   2.8,  -11.7,   -7.9,   -3.3,   8.0,   7,   0.2,    4.733,  21,eor
     3015,20121213,   3,   7.1,   94.71,   4.1,   -4.7, 1003.05,   2.8,   -7.5,   -6.1,   -2.6,   7.7,   7,   0.0,    0.000,  21,eor
     3015,20121214,   3,   7.3,   85.25,   4.2,   -2.9,  996.48,   4.3,   -7.7,   -6.2,   -0.2,  10.5,   8,   3.3,    0.017,  17,eor
     3015,20121215,   3,   8.0,   96.25,   6.7,    1.7,  990.47,   3.3,   -1.6,   -0.9,    3.3,   8.5,   6,   0.9,    0.000,  14,eor
     3015,20121216,   3,   6.5,   99.83,   7.2,    2.2,  993.62,   2.7,   -0.2,    0.7,    3.4,   4.9,   6,   2.0,    0.250,   9,eor
     3015,20121217,   3,   7.4,   99.46,   7.2,    2.3,  994.33,   2.3,   -0.2,    1.3,    3.3,   4.3,   6,   0.1,    0.000,   8,eor
     3015,20121218,   3,   7.6,   98.46,   7.1,    2.4,  999.31,   2.4,    0.7,    1.4,    3.3,   4.6,   6,   2.5,    0.000,   4,eor
     3015,20121219,   3,   8.0,  100.00,   6.9,    1.6, 1009.90,   1.5,    0.8,    0.8,    2.1,   4.4,   6,   0.9,    0.000,   0,eor
     3015,20121220,   3,   8.0,   97.67,   6.1,    0.2, 1009.64,   3.3,   -1.8,   -1.9,    1.2,   9.8,   6,   0.0,    0.000,   0,eor
     3015,20121221,   3,   8.0,   89.13,   4.1,   -3.9, 1004.35,   3.3,   -4.3,   -4.8,   -1.9,   8.4,   7,   0.0,    0.000,   0,eor
     3015,20121222,   3,   8.0,   90.79,   4.2,   -3.7, 1005.99,   3.8,   -4.1,   -4.3,   -2.8,  10.0,   8,   0.4,    0.000,   0,eor
     3015,20121223,   3,   8.0,   95.92,   5.4,   -1.4,  996.08,   4.6,   -3.4,   -3.3,    4.8,  10.7,   8,   8.7,    0.000,   1,eor
     3015,20121224,   3,   8.0,   98.75,   9.2,    5.9,  994.03,   3.7,    2.2,    4.4,    8.0,   9.4,   0,   0.0,    0.000,   0,eor
     3015,20121225,   3,   7.6,   75.25,   8.7,    9.2,  988.19,   5.4,    4.9,    6.7,   12.7,  16.8,   6,   0.0,    0.133,   0,eor
     3015,20121226,   3,   5.1,   83.04,   8.1,    6.6,  993.11,   5.5,    2.1,    3.6,    9.1,  11.6,   6,   4.1,    0.950,   0,eor
     3015,20121227,   3,   6.3,   83.71,   7.9,    6.2,  990.47,   5.6,   -1.6,    1.9,    9.3,  17.4,   6,   0.3,    2.500,   0,eor
     3015,20121228,   3,   3.9,   82.21,   4.8,   -0.7, 1010.93,   3.1,   -6.2,   -3.4,    3.7,   8.4,   0,   0.0,    6.000,   0,eor
     3015,20121229,   3,   6.9,   82.13,   6.3,    3.1, 1006.55,   3.6,   -1.2,   -0.9,    7.8,   8.3,   0,   0.0,    0.617,   0,eor
     3015,20121230,   3,   5.3,   74.29,   6.7,    5.4, 1000.77,   5.1,    1.4,    2.6,    9.2,  13.0,   6,   0.1,    2.217,   0,eor
     3015,20121231,   3,   6.8,   74.96,   7.5,    6.9, 1000.74,   6.5,    2.4,    4.0,    8.9,  15.8,   6,   0.0,    0.667,   0,eor
     3015,20130101,   3,   7.2,   73.46,   7.1,    6.4,  992.50,   5.4,    2.2,    3.8,    8.2,  11.6,   6,   0.7,    0.000,   0,eor
     3015,20130102,   3,   6.7,   88.38,   7.4,    4.3, 1004.51,   5.7,    2.4,    3.5,    5.2,  12.3,   6,   1.0,    0.183,   0,eor
     3015,20130103,   3,   7.7,   90.63,   8.9,    6.6, 1009.25,   7.4,    3.0,    3.4,    9.6,  15.4,   6,   1.9,    0.000,   0,eor
     3015,20130104,   3,   7.3,   89.54,   9.5,    7.7, 1010.91,   7.0,    5.0,    6.0,    9.2,  14.8,   6,   3.0,    0.033,   0,eor
     3015,20130105,   3,   7.7,   94.21,   8.8,    5.8, 1012.32,   2.9,    1.5,    3.4,    8.1,   9.7,   6,   0.2,    0.000,   0,eor
     3015,20130106,   3,   8.0,   98.42,   8.8,    5.3, 1009.47,   3.4,    3.6,    3.9,    6.1,  10.2,   6,   1.9,    0.000,   0,eor
     3015,20130107,   3,   7.7,   93.04,   6.6,    1.9, 1013.71,   2.4,    0.2,    0.5,    4.9,   6.0,   6,   2.5,    0.033,   0,eor
     3015,20130108,   3,   8.0,   98.71,   8.0,    3.8, 1008.83,   3.2,    0.4,    0.3,    6.1,   7.4,   6,   4.3,    0.000,   0,eor
     3015,20130109,   3,   8.0,   99.00,   9.3,    6.0, 1003.49,   3.3,    4.8,    5.2,    6.4,  13.4,   6,   4.8,    0.000,   0,eor
     3015,20130110,   3,   7.9,   93.75,   6.9,    2.5,  993.09,   5.4,   -1.0,   -0.8,    5.2,  15.4,   8,   4.8,    0.000,   0,eor
     3015,20130111,   3,   7.2,   93.00,   5.1,   -1.6,  998.19,   4.1,   -6.6,   -4.0,   -0.8,   9.8,   7,   0.2,    1.017,   4,eor
     3015,20130112,   3,   7.0,   95.00,   4.8,   -2.5, 1003.50,   3.5,   -6.5,   -4.3,   -1.2,   8.6,   7,   0.8,    0.000,   4,eor
     3015,20130113,   3,   7.8,   90.08,   4.0,   -4.3, 1006.75,   1.7,   -9.3,   -6.8,   -3.0,   6.8,   7,   0.3,    0.533,   5,eor
     3015,20130114,   3,   6.5,   93.67,   3.7,   -6.1, 1002.72,   2.4,  -10.6,   -9.2,   -4.6,   7.6,   7,   0.6,    0.000,   4,eor
     3015,20130115,   3,   7.5,   96.63,   4.1,   -4.8,  997.63,   1.9,  -13.0,   -8.4,   -3.0,   6.6,   7,   0.2,    0.000,   5,eor
     3015,20130116,   3,   8.0,   93.50,   4.0,   -4.8,  996.92,   2.1,   -6.6,   -5.4,   -4.0,   5.6,   7,   0.0,    0.000,   6,eor
     3015,20130117,   3,   7.3,   88.83,   4.3,   -3.1, 1001.27,   2.5,   -9.1,   -5.5,   -1.3,   8.9,   0,   0.0,    0.067,   6,eor
     3015,20130118,   3,   8.0,   83.38,   3.7,   -4.4, 1000.49,   2.5,   -6.3,   -6.2,   -2.9,   8.1,   7,   0.1,    0.000,   5,eor
     3015,20130119,   3,   6.5,   84.58,   2.9,   -7.5,  992.50,   2.7,  -12.6,   -9.5,   -6.2,   7.9,   7,   0.0,    1.350,   5,eor
     3015,20130120,   3,   8.0,   86.67,   3.4,   -5.9,  990.19,   2.5,   -7.5,   -7.7,   -4.3,   8.2,   7,   0.6,    0.050,   5,eor
     3015,20130121,   3,   8.0,   90.29,   3.5,   -6.2,  990.67,   3.5,   -8.2,   -8.3,   -4.6,   9.7,   7,   5.6,    0.000,   5,eor
     3015,20130122,   3,   8.0,   87.79,   2.9,   -8.2,  995.26,   1.7,   -8.9,   -9.0,   -7.5,   7.0,   7,   0.0,    0.000,  10,eor
     3015,20130123,   3,   8.0,   88.79,   3.1,   -7.6,  997.45,   0.7,   -8.4,   -8.3,   -6.7,   2.0,   7,   0.0,    0.000,   9,eor
     3015,20130124,   3,   7.6,   86.63,   3.2,   -6.5, 1001.09,   1.0,  -15.0,  -10.4,   -5.0,   5.8,   7,   0.0,    0.000,   9,eor
     3015,20130125,   3,   3.0,   88.13,   2.8,   -8.7, 1008.49,   2.0,  -17.4,  -11.7,   -3.9,   7.3,   0,   0.0,    5.950,   9,eor
     3015,20130126,   3,   3.8,   86.63,   2.7,   -9.0, 1002.56,   3.4,  -14.3,  -12.1,   -5.1,   7.8,   7,   0.2,    6.917,   9,eor
     3015,20130127,   3,   8.0,   91.63,   4.7,   -2.7,  994.49,   3.1,   -8.5,   -8.6,    0.5,   7.5,   7,   1.8,    0.133,  10,eor
     3015,20130128,   3,   6.5,   94.29,   6.5,    1.6,  998.43,   3.6,   -2.8,   -0.2,    3.7,   6.8,   6,   1.8,    3.183,  10,eor
     3015,20130129,   3,   7.5,   92.46,   7.5,    3.8,  995.00,   5.5,   -0.8,    0.3,    5.9,  13.4,   6,  17.1,    0.100,   6,eor
     3015,20130130,   3,   7.1,   90.13,  10.0,    8.4,  990.37,   7.1,    4.0,    5.5,   12.2,  17.3,   6,   1.8,    0.033,   0,eor
     3015,20130131,   3,   6.7,   72.75,   6.9,    6.2,  992.15,   9.5,    3.8,    5.0,    8.0,  23.0,   6,   0.4,    1.800,   0,eor
     3015,20130201,   3,   7.8,   79.42,   7.1,    5.5,  987.35,   6.1,    3.0,    3.3,    6.9,  18.8,   6,   6.3,    0.017,   0,eor
     3015,20130202,   3,   7.8,   92.00,   6.4,    1.6,  983.43,   3.5,   -1.3,   -1.0,    3.5,  10.4,   8,   1.7,    0.017,   0,eor
     3015,20130203,   3,   6.8,   87.29,   5.3,   -0.2,  996.54,   4.4,   -3.8,   -3.6,    2.3,  11.0,   8,   2.7,    0.900,   0,eor
     3015,20130204,   3,   6.7,   94.42,   7.0,    2.7,  990.23,   5.8,    0.0,    0.2,    5.5,  14.4,   8,   1.7,    0.233,   2,eor
     3015,20130205,   3,   4.2,   84.79,   6.3,    2.7,  985.30,   6.3,   -1.3,   -0.4,    6.4,  17.9,   8,   2.4,    2.833,   0,eor
     3015,20130206,   3,   4.6,   80.92,   5.1,    0.5,  986.05,   3.6,   -2.9,   -1.7,    4.0,   8.3,   0,   0.0,    7.883,   0,eor
     3015,20130207,   3,   5.5,   84.96,   5.0,   -0.4,  992.40,   2.8,   -5.4,   -2.3,    3.2,   7.5,   8,   0.1,    3.567,   0,eor
     3015,20130208,   3,   7.3,   95.96,   5.3,   -1.3,  997.62,   2.4,   -6.5,   -3.2,    0.6,   6.8,   7,   0.6,    0.800,   0,eor
     3015,20130209,   3,   6.4,   92.50,   4.9,   -1.9, 1003.22,   2.0,   -8.3,   -4.8,    0.7,   4.9,   7,   0.1,    0.983,   1,eor
     3015,20130210,   3,   6.5,   92.25,   4.3,   -3.8, 1003.99,   1.7,   -8.0,   -5.7,   -2.5,   4.8,   0,   0.0,    0.000,   1,eor
     3015,20130211,   3,   6.8,   84.04,   4.4,   -2.1,  999.20,   3.2,   -5.6,   -5.0,   -0.7,   9.6,   7,   0.0,    2.400,   0,eor
     3015,20130212,   3,   6.5,   88.21,   4.8,   -1.7, 1000.43,   2.8,   -5.6,   -3.7,    0.0,   7.0,   7,   2.0,    3.000,   0,eor
     3015,20130213,   3,   8.0,   90.92,   5.0,   -1.5, 1009.56,   1.8,   -2.9,   -2.5,   -0.1,   5.0,   7,   0.1,    0.000,   4,eor
     3015,20130214,   3,   8.0,   94.04,   5.1,   -1.5, 1011.50,   1.7,   -2.4,   -2.3,   -0.3,   6.9,   0,   0.0,    0.000,   4,eor
     3015,20130215,   3,   8.0,   95.25,   5.7,   -0.2, 1006.77,   1.7,   -1.5,   -1.4,    0.8,   7.0,   7,   0.0,    0.000,   2,eor
     3015,20130216,   3,   8.0,   95.96,   6.0,    0.4, 1010.60,   1.0,   -0.7,   -0.4,    1.7,   3.7,   7,   0.1,    0.000,   2,eor
     3015,20130217,   3,   8.0,   93.08,   5.8,    0.2, 1012.51,   1.8,   -0.8,   -0.7,    1.1,   5.3,   8,   0.0,    0.000,   0,eor
     3015,20130218,   3,   8.0,   89.92,   5.3,   -0.4, 1008.52,   2.2,   -1.1,   -1.0,    0.8,   7.8,   7,   2.0,    0.000,   0,eor
     3015,20130219,   3,   8.0,   95.88,   5.8,   -0.1,  998.95,   4.7,   -1.1,   -0.9,    0.8,  11.1,   7,   2.1,    0.000,   4,eor
     3015,20130220,   3,   7.5,   89.54,   4.8,   -1.7, 1006.63,   3.6,   -5.9,   -4.1,   -0.1,   9.9,   7,   1.5,    0.000,   7,eor
     3015,20130221,   3,   7.6,   87.96,   4.0,   -4.0, 1009.33,   2.2,  -11.2,   -7.1,   -1.9,   6.9,   7,   0.5,    0.117,   9,eor
     3015,20130222,   3,   7.7,   82.54,   3.9,   -3.6, 1006.26,   3.0,   -5.0,   -4.5,   -2.2,  12.3,   7,   0.7,    0.517,   9,eor
     3015,20130223,   3,   8.0,   91.58,   4.6,   -2.7, 1001.03,   3.8,   -5.3,   -4.8,   -0.3,  11.0,   8,   2.4,    0.000,   9,eor
     3015,20130224,   3,   8.0,   99.38,   6.4,    0.8, 1001.22,   2.9,   -0.3,   -0.3,    1.6,   8.6,   8,   4.4,    0.000,  11,eor
     3015,20130225,   3,   8.0,   95.42,   6.4,    1.3, 1009.25,   3.0,    0.3,    0.5,    2.5,   8.0,   6,   0.0,    0.000,   6,eor
     3015,20130226,   3,   7.9,   95.79,   6.2,    0.7, 1017.44,   2.2,    0.0,    0.2,    1.2,   6.7,   6,   0.2,    0.000,   3,eor
     3015,20130227,   3,   8.0,   94.33,   6.3,    1.2, 1018.90,   1.5,   -1.4,    0.0,    3.2,   4.0,   6,   0.0,    0.000,   3,eor
     3015,20130228,   3,   7.4,   89.63,   6.2,    1.8, 1013.44,   3.3,   -1.4,   -0.1,    4.4,  12.5,   6,   0.0,    0.000,   0,eor
     3015,20130301,   3,   5.0,   90.29,   6.1,    1.4, 1007.78,   4.4,   -6.0,   -2.3,    5.2,  10.6,   0,   0.0,    3.567,   0,eor
     3015,20130302,   3,   2.9,   81.92,   5.2,    0.8, 1008.51,   4.4,   -6.6,   -3.5,    5.7,  10.7,   8,   0.0,   10.317,   0,eor
     3015,20130303,   3,   5.0,   80.67,   5.5,    1.7, 1006.22,   4.9,   -5.6,   -1.8,    5.3,  11.7,   6,   0.0,    3.633,   0,eor
     3015,20130304,   3,   0.5,   75.38,   5.1,    1.9, 1010.22,   2.3,   -6.7,   -3.2,    8.2,   6.6,   0,   0.0,   10.467,   0,eor
     3015,20130305,   3,   0.6,   60.54,   5.1,    4.8, 1002.00,   3.3,   -2.9,   -0.2,   11.4,   9.3,   0,   0.0,   10.583,   0,eor
     3015,20130306,   3,   2.5,   63.75,   5.7,    5.8,  994.08,   2.4,   -3.2,   -0.3,   13.8,   6.4,   0,   0.0,   10.100,   0,eor
     3015,20130307,   3,   6.5,   69.21,   6.2,    5.4,  992.68,   4.0,    1.1,    2.3,    9.6,  10.3,   8,   3.1,    1.050,   0,eor
     3015,20130308,   3,   8.0,   88.21,   5.4,   -0.1,  995.66,   4.4,   -1.0,   -0.8,    2.8,  11.5,   7,   0.4,    0.000,   0,eor
     3015,20130309,   3,   8.0,   85.58,   5.0,   -0.5,  993.70,   3.5,   -1.8,   -1.6,    1.2,   8.4,   7,   3.0,    0.000,   0,eor
     3015,20130310,   3,   8.0,   95.42,   4.8,   -2.8,  988.37,   3.7,   -5.3,   -5.3,   -1.3,   9.9,   7,   4.8,    0.000,   3,eor
     3015,20130311,   3,   8.0,   85.71,   3.6,   -5.2,  993.00,   2.3,   -6.6,   -6.3,   -3.8,   7.5,   7,   0.2,    0.000,   8,eor
     3015,20130312,   3,   7.7,   78.54,   3.4,   -4.4,  992.66,   1.9,   -6.6,   -6.3,   -1.7,   5.7,   7,   0.4,    0.567,   8,eor
     3015,20130313,   3,   5.0,   69.29,   3.1,   -4.1,  991.94,   1.5,  -12.9,   -8.5,    0.3,   4.8,   7,   0.0,    9.367,   7,eor
     3015,20130314,   3,   1.8,   72.38,   2.8,   -5.5,  996.61,   1.5,  -14.7,  -11.8,    1.9,   4.3,   0,   0.0,    8.783,   5,eor
     3015,20130315,   3,   3.3,   84.21,   3.7,   -4.3, 1001.41,   2.4,  -13.3,   -8.5,    1.3,   8.5,   7,   0.2,    4.300,   4,eor
     3015,20130316,   3,   0.3,   70.46,   3.2,   -3.4, 1005.73,   2.9,  -13.8,   -9.7,    2.4,   8.2,   0,   0.0,   10.983,   4,eor
     3015,20130317,   3,   5.8,   57.79,   3.2,   -1.2,  999.03,   5.0,   -6.7,   -5.7,    3.5,  13.0,   0,   0.0,    8.250,   3,eor
     3015,20130318,   3,   8.0,   67.17,   4.1,    0.0,  987.20,   4.9,   -2.0,   -1.5,    3.2,  11.5,   7,   5.9,    0.033,   2,eor
     3015,20130319,   3,   7.9,   96.25,   5.2,   -1.6,  982.93,   3.3,   -5.0,   -3.0,   -0.7,   8.5,   7,   2.1,    0.000,   6,eor
     3015,20130320,   3,   7.7,   85.58,   4.7,   -1.4,  993.17,   2.9,   -4.3,   -3.2,    1.1,   8.7,   8,   2.7,    0.417,   8,eor
     3015,20130321,   3,   7.8,   91.54,   5.1,   -1.2, 1001.85,   2.7,   -4.8,   -3.0,    0.4,   6.7,   7,   1.7,    0.000,   8,eor
     3015,20130322,   3,   6.8,   81.54,   4.1,   -2.6, 1008.69,   2.7,   -9.2,   -7.5,   -0.1,   9.0,   7,   0.0,    0.600,   9,eor
